tag,track,config,seed,test_auc,test_ap,val_auc,best_epoch,epochs_run,train_time_sec,test_prevalence,c_adv,family,population,roc_auc,ap,train_rows,fit_sec,train_auc,n_train_presence,n_test_presence,n_background
MaxEnt_v2_n150000_seed42,,,42.0,,,,,,,,,MaxEnt sample-size,all,0.967017946040157,0.6625503491169731,150000.0,1120.2393865585327,,,,
MaxEnt_v2_n150000_seed42,,,42.0,,,,,,,,,MaxEnt sample-size,forest,0.8657422142808162,0.6642872168342202,150000.0,1120.2393865585327,,,,
MaxEnt_v2_n150000_seed43,,,43.0,,,,,,,,,MaxEnt sample-size,all,0.967437542205116,0.6639592012631754,150000.0,1131.0525925159454,,,,
MaxEnt_v2_n150000_seed43,,,43.0,,,,,,,,,MaxEnt sample-size,forest,0.8673118635430892,0.665654294340582,150000.0,1131.0525925159454,,,,
MaxEnt_v2_n150000_seed44,,,44.0,,,,,,,,,MaxEnt sample-size,all,0.9673215026820302,0.6637383578050334,150000.0,1153.4912769794464,,,,
MaxEnt_v2_n150000_seed44,,,44.0,,,,,,,,,MaxEnt sample-size,forest,0.8669297536716488,0.6654297591055566,150000.0,1153.4912769794464,,,,
MaxEnt_v2_n300000_seed42,,,42.0,,,,,,,,,MaxEnt sample-size,all,0.968035180108956,0.6708564177080311,300000.0,3411.1269290447235,,,,
MaxEnt_v2_n300000_seed42,,,42.0,,,,,,,,,MaxEnt sample-size,forest,0.8697249985944354,0.6725388377804064,300000.0,3411.1269290447235,,,,
MaxEnt_v2_n500000_seed42,,,42.0,,,,,,,,,MaxEnt sample-size,all,0.9685398307156892,0.6756184627901425,500000.0,7302.929088592529,,,,
MaxEnt_v2_n500000_seed42,,,42.0,,,,,,,,,MaxEnt sample-size,forest,0.87172447186151,0.6773031146931056,500000.0,7302.929088592529,,,,
,,,0.0,0.8915175101606976,,,,,,,,Biswas-style reimplementation,,,,,,0.9020893968258679,969.0,323.0,3338.0
,,,1.0,0.8770087202993209,,,,,,,,Biswas-style reimplementation,,,,,,0.9070490168253608,969.0,323.0,3338.0
,,,2.0,0.9121171536319742,,,,,,,,Biswas-style reimplementation,,,,,,0.8961942444664157,969.0,323.0,3338.0
,,,3.0,0.8976575209567288,,,,,,,,Biswas-style reimplementation,,,,,,0.8998365137105266,969.0,323.0,3338.0
,,,4.0,0.8922084932487706,,,,,,,,Biswas-style reimplementation,,,,,,0.9023456943560749,969.0,323.0,3338.0
,,,5.0,0.8832053082341069,,,,,,,,Biswas-style reimplementation,,,,,,0.9048836273180396,969.0,323.0,3338.0
,,,6.0,0.9034246791334238,,,,,,,,Biswas-style reimplementation,,,,,,0.8964694010428743,969.0,323.0,3338.0
,,,7.0,0.892725107450189,,,,,,,,Biswas-style reimplementation,,,,,,0.9011922008877973,969.0,323.0,3338.0
,,,8.0,0.8935941694012284,,,,,,,,Biswas-style reimplementation,,,,,,0.9014503534061602,969.0,323.0,3338.0
,,,9.0,0.886565619278521,,,,,,,,Biswas-style reimplementation,,,,,,0.9052954346886495,969.0,323.0,3338.0
