track,cdr,classical,delong_auc1,delong_auc2,delong_diff,delong_se,delong_ci95,delong_z,delong_p
B3,B3orig_full_s44,null_climatological_frequency,0.8891171912155551,0.908355983224128,-0.0192387920085729,0.000526448139883,"[-0.020270630362743777, -0.018206953654402072]",-36.54451512136672,2.17925827495412e-292
B3,B3_nophys_s42,null_seasonal_frequency,0.905093377741632,0.9298903329251148,-0.0247969551834825,0.001056043666759,"[-0.026866800770330355, -0.02272710959663479]",-23.480994170991785,6.379243220660533e-122
B3,B3_nophys_s43,null_seasonal_frequency,0.904303314574322,0.9298903329251148,-0.0255870183507925,0.0010582895102273,"[-0.027661265790838222, -0.023512770910746935]",-24.17771139515058,3.817847834430986e-129
B3,B3_nophys_s44,null_seasonal_frequency,0.903668966325184,0.9298903329251148,-0.0262213665999306,0.0010652987872474,"[-0.028309352222935756, -0.024133380976925613]",-24.614095983044667,8.924385588438069e-134
B3,B3_diff_s42,null_seasonal_frequency,0.8854173707622436,0.9298903329251148,-0.0444729621628711,0.0011624563343142,"[-0.04675137657812711, -0.04219454774761511]",-38.25774857092157,0.0
B3,B3_diff_s43,null_seasonal_frequency,0.891989736932197,0.9298903329251148,-0.0379005959929177,0.0011295591380364,"[-0.040114531903469156, -0.0356866600823663]",-33.55344108746878,8.020465965108742e-247
B3,B3_diff_s44,null_seasonal_frequency,0.879161716048418,0.9298903329251148,-0.0507286168766967,0.0011958142222693,"[-0.05307241275234467, -0.04838482100104877]",-42.4218209919148,0.0
B3,B3_diffadv_s42,null_seasonal_frequency,0.8946137717790393,0.9298903329251148,-0.0352765611460753,0.0011017528673641,"[-0.03743599676610906, -0.03311712552604166]",-32.018578930928626,6.012657345504415e-225
B3,B3_diffadv_s43,null_seasonal_frequency,0.8948200342275061,0.9298903329251148,-0.0350702986976085,0.0010994590552798,"[-0.037225238445957175, -0.03291535894925999]",-31.89777602830385,2.8665519324248287e-223
B3,B3_diffadv_s44,null_seasonal_frequency,0.8929415890987705,0.9298903329251148,-0.0369487438263441,0.0011119178947878,"[-0.03912810290012836, -0.03476938475255997]",-33.2297411522401,4.005241017351226e-242
B3,B3_full_s42,null_seasonal_frequency,0.8952036319473489,0.9298903329251148,-0.0346867009777658,0.0010992281018478,"[-0.03684118805738761, -0.03253221389814404]",-31.555507832683656,1.5067751777549583e-218
B3,B3_full_s43,null_seasonal_frequency,0.8952581081824844,0.9298903329251148,-0.0346322247426302,0.0010970300661886,"[-0.03678240367236012, -0.03248204581290044]",-31.569075278811376,9.814963628925856e-219
B3,B3_full_s44,null_seasonal_frequency,0.8898373466601512,0.9298903329251148,-0.0400529862649634,0.0011262135921202,"[-0.04226036490551911, -0.03784560762440779]",-35.564289531933994,4.996828190428391e-277
B3,B3orig_nophys_s42,null_seasonal_frequency,0.9051291179819642,0.9298903329251148,-0.0247612149431505,0.0010539370614111,"[-0.026826931583516376, -0.02269549830278469]",-23.49401672050237,4.695618390658325e-122
B3,B3orig_nophys_s43,null_seasonal_frequency,0.9047277945300106,0.9298903329251148,-0.025162538395104,0.0010577686048702,"[-0.02723576486064975, -0.023089311929558397]",-23.78832031811984,4.411873235989328e-125
B3,B3orig_nophys_s44,null_seasonal_frequency,0.9035631536712848,0.9298903329251148,-0.0263271792538299,0.0010621028646517,"[-0.028408900868547346, -0.024245457639112636]",-24.78778669188815,1.2141444311165367e-135
B3,B3orig_full_s42,null_seasonal_frequency,0.8968202251980062,0.9298903329251148,-0.0330701077271085,0.0010961169397768,"[-0.03521849692907104, -0.030921718525145962]",-30.170236885347595,5.822203951961438e-200
B3,B3orig_full_s43,null_seasonal_frequency,0.8962478680832141,0.9298903329251148,-0.0336424648419005,0.0010951674181059,"[-0.03578899298138823, -0.03149593670241294]",-30.719015454353265,3.172211195685105e-207
B3,B3orig_full_s44,null_seasonal_frequency,0.8891171912155551,0.9298903329251148,-0.0407731417095595,0.0011295921207157,"[-0.04298714226616249, -0.038559141152956694]",-36.09545513094032,2.67269298561525e-285
